position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 18.44437, true
-0.03000, -0.60000, -12.00000, -240.00000, 3.14159, 0.05000, 5.53000, 18.44437, true
-0.09000, -1.20000, -12.00000, -0.00000, 3.14159, 0.05000, 5.59000, 18.44437, true
-0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 5.68000, 18.44437, true
-0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 5.80000, 18.44437, true
-0.45000, -3.00000, -12.00000, -0.00000, 3.14159, 0.05000, 5.95000, 18.44437, true
-0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 6.13000, 18.44437, true
-0.83000, -4.00000, -8.00000, 80.00000, 3.14159, 0.05000, 6.33000, 18.44437, true
-1.03000, -4.00000, 0.00000, 160.00000, 3.14159, 0.05000, 6.53000, 18.44437, true
-1.23000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 6.73000, 18.44437, true
-1.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.93000, 18.44437, true
-1.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.13000, 18.44437, true
-1.83000, -4.00000, 0.00000, -0.00000, 3.14159, 0.05000, 7.33000, 18.44437, true
-2.03000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.53000, 18.44437, true
-2.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.73000, 18.44437, true
-2.43000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.93000, 18.44437, true
-2.63000, -4.00000, -0.00000, 0.00000, 3.14159, 0.05000, 8.13000, 18.44437, true
-2.83000, -4.00000, -0.00000, 0.00000, 3.14159, 0.05000, 8.33000, 18.44437, true
-3.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.53000, 18.44437, true
-3.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.73000, 18.44437, true
-3.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.93000, 18.44437, true
-3.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.13000, 18.44437, true
-3.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.33000, 18.44437, true
-4.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.53000, 18.44437, true
-4.23000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.73000, 18.44437, true
-4.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.93000, 18.44437, true
-4.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.73000, 18.44437, true
-4.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.93000, 18.44437, true
